"","Data Type","Census Tract","Age","Population","Sex","Number of Individuals"
"422","Estimate",970602,"Under 5 years","62","Female","472"
"423","Estimate",970602,"5 to 9 years","4","Male","633"
"424","Estimate",970602,"5 to 9 years","4","Female","472"
"425","Estimate",970602,"10 to 14 years","32","Male","633"
"426","Estimate",970602,"10 to 14 years","32","Female","472"
"427","Estimate",970602,"15 to 19 years","63","Male","633"
"428","Estimate",970602,"15 to 19 years","63","Female","472"
"429","Estimate",970602,"20 to 24 years","66","Male","633"
"430","Estimate",970602,"20 to 24 years","66","Female","472"
"431","Estimate",970602,"25 to 34 years","154","Male","633"
"432","Estimate",970602,"25 to 34 years","154","Female","472"
"433","Estimate",970602,"35 to 44 years","48","Male","633"
"434","Estimate",970602,"35 to 44 years","48","Female","472"
"435","Estimate",970602,"45 to 54 years","131","Male","633"
"436","Estimate",970602,"45 to 54 years","131","Female","472"
"437","Estimate",970602,"55 to 59 years","103","Male","633"
"438","Estimate",970602,"55 to 59 years","103","Female","472"
"439","Estimate",970602,"60 to 64 years","208","Male","633"
"440","Estimate",970602,"60 to 64 years","208","Female","472"
"441","Estimate",970602,"65 to 74 years","142","Male","633"
"442","Estimate",970602,"65 to 74 years","142","Female","472"
"443","Estimate",970602,"75 to 84 years","92","Male","633"
"444","Estimate",970602,"75 to 84 years","92","Female","472"
"445","Estimate",970602,"85 years and over","0","Male","633"
"446","Estimate",970602,"85 years and over","0","Female","472"
"447","Estimate",970602,"Median age (years)","53.4","Male","633"
"448","Estimate",970602,"Median age (years)","53.4","Female","472"
"449","Estimate",970603,"Under 5 years","71","Male","710"
"450","Estimate",970603,"Under 5 years","71","Female","742"
"451","Estimate",970603,"5 to 9 years","77","Male","710"
"452","Estimate",970603,"5 to 9 years","77","Female","742"
"453","Estimate",970603,"10 to 14 years","138","Male","710"
"454","Estimate",970603,"10 to 14 years","138","Female","742"
"455","Estimate",970603,"15 to 19 years","85","Male","710"
"456","Estimate",970603,"15 to 19 years","85","Female","742"
"457","Estimate",970603,"20 to 24 years","79","Male","710"
"458","Estimate",970603,"20 to 24 years","79","Female","742"
"459","Estimate",970603,"25 to 34 years","214","Male","710"
"460","Estimate",970603,"25 to 34 years","214","Female","742"
"461","Estimate",970603,"35 to 44 years","181","Male","710"
"462","Estimate",970603,"35 to 44 years","181","Female","742"
"463","Estimate",970603,"45 to 54 years","158","Male","710"
"464","Estimate",970603,"45 to 54 years","158","Female","742"
"465","Estimate",970603,"55 to 59 years","164","Male","710"
"466","Estimate",970603,"55 to 59 years","164","Female","742"
"467","Estimate",970603,"60 to 64 years","92","Male","710"
"468","Estimate",970603,"60 to 64 years","92","Female","742"
"469","Estimate",970603,"65 to 74 years","128","Male","710"
"470","Estimate",970603,"65 to 74 years","128","Female","742"
"471","Estimate",970603,"75 to 84 years","52","Male","710"
"472","Estimate",970603,"75 to 84 years","52","Female","742"
"473","Estimate",970603,"85 years and over","13","Male","710"
"474","Estimate",970603,"85 years and over","13","Female","742"
"475","Estimate",970603,"Median age (years)","39.4","Male","710"
"476","Estimate",970603,"Median age (years)","39.4","Female","742"
"477","Estimate",970606,"Under 5 years","144","Male","2,021"
"478","Estimate",970606,"Under 5 years","144","Female","1,746"
"479","Estimate",970606,"5 to 9 years","195","Male","2,021"
"480","Estimate",970606,"5 to 9 years","195","Female","1,746"
"481","Estimate",970606,"10 to 14 years","216","Male","2,021"
"482","Estimate",970606,"10 to 14 years","216","Female","1,746"
"483","Estimate",970606,"15 to 19 years","118","Male","2,021"
"484","Estimate",970606,"15 to 19 years","118","Female","1,746"
"485","Estimate",970606,"20 to 24 years","119","Male","2,021"
"486","Estimate",970606,"20 to 24 years","119","Female","1,746"
"487","Estimate",970606,"25 to 34 years","232","Male","2,021"
"488","Estimate",970606,"25 to 34 years","232","Female","1,746"
"489","Estimate",970606,"35 to 44 years","333","Male","2,021"
"490","Estimate",970606,"35 to 44 years","333","Female","1,746"
"491","Estimate",970606,"45 to 54 years","641","Male","2,021"
"492","Estimate",970606,"45 to 54 years","641","Female","1,746"
"493","Estimate",970606,"55 to 59 years","189","Male","2,021"
"494","Estimate",970606,"55 to 59 years","189","Female","1,746"
"495","Estimate",970606,"60 to 64 years","304","Male","2,021"
"496","Estimate",970606,"60 to 64 years","304","Female","1,746"
"497","Estimate",970606,"65 to 74 years","708","Male","2,021"
"498","Estimate",970606,"65 to 74 years","708","Female","1,746"
"499","Estimate",970606,"75 to 84 years","399","Male","2,021"
"500","Estimate",970606,"75 to 84 years","399","Female","1,746"
"501","Estimate",970606,"85 years and over","169","Male","2,021"
"502","Estimate",970606,"85 years and over","169","Female","1,746"
"503","Estimate",970606,"Median age (years)","53.8","Male","2,021"
"504","Estimate",970606,"Median age (years)","53.8","Female","1,746"
"505","Estimate",970701,"Under 5 years","13","Male","602"
"506","Estimate",970701,"Under 5 years","13","Female","606"
"507","Estimate",970701,"5 to 9 years","40","Male","602"
"508","Estimate",970701,"5 to 9 years","40","Female","606"
"509","Estimate",970701,"10 to 14 years","103","Male","602"
"510","Estimate",970701,"10 to 14 years","103","Female","606"
"511","Estimate",970701,"15 to 19 years","103","Male","602"
"512","Estimate",970701,"15 to 19 years","103","Female","606"
"513","Estimate",970701,"20 to 24 years","28","Male","602"
"514","Estimate",970701,"20 to 24 years","28","Female","606"
"515","Estimate",970701,"25 to 34 years","108","Male","602"
"516","Estimate",970701,"25 to 34 years","108","Female","606"
"517","Estimate",970701,"35 to 44 years","92","Male","602"
"518","Estimate",970701,"35 to 44 years","92","Female","606"
"519","Estimate",970701,"45 to 54 years","169","Male","602"
"520","Estimate",970701,"45 to 54 years","169","Female","606"
"521","Estimate",970701,"55 to 59 years","145","Male","602"
"522","Estimate",970701,"55 to 59 years","145","Female","606"
"523","Estimate",970701,"60 to 64 years","97","Male","602"
"524","Estimate",970701,"60 to 64 years","97","Female","606"
"525","Estimate",970701,"65 to 74 years","254","Male","602"
"526","Estimate",970701,"65 to 74 years","254","Female","606"
"527","Estimate",970701,"75 to 84 years","44","Male","602"
"528","Estimate",970701,"75 to 84 years","44","Female","606"
"529","Estimate",970701,"85 years and over","12","Male","602"
"530","Estimate",970701,"85 years and over","12","Female","606"
"531","Estimate",970701,"Median age (years)","50.5","Male","602"
"532","Estimate",970701,"Median age (years)","50.5","Female","606"
"533","Estimate",970702,"Under 5 years","172","Male","1,918"
"534","Estimate",970702,"Under 5 years","172","Female","1,711"
"535","Estimate",970702,"5 to 9 years","256","Male","1,918"
"536","Estimate",970702,"5 to 9 years","256","Female","1,711"
"537","Estimate",970702,"10 to 14 years","308","Male","1,918"
"538","Estimate",970702,"10 to 14 years","308","Female","1,711"
"539","Estimate",970702,"15 to 19 years","378","Male","1,918"
"540","Estimate",970702,"15 to 19 years","378","Female","1,711"
"541","Estimate",970702,"20 to 24 years","160","Male","1,918"
"542","Estimate",970702,"20 to 24 years","160","Female","1,711"
"543","Estimate",970702,"25 to 34 years","350","Male","1,918"
"544","Estimate",970702,"25 to 34 years","350","Female","1,711"
"545","Estimate",970702,"35 to 44 years","656","Male","1,918"
"546","Estimate",970702,"35 to 44 years","656","Female","1,711"
"547","Estimate",970702,"45 to 54 years","561","Male","1,918"
"548","Estimate",970702,"45 to 54 years","561","Female","1,711"
"549","Estimate",970702,"55 to 59 years","193","Male","1,918"
"550","Estimate",970702,"55 to 59 years","193","Female","1,711"
"551","Estimate",970702,"60 to 64 years","248","Male","1,918"
"552","Estimate",970702,"60 to 64 years","248","Female","1,711"
"553","Estimate",970702,"65 to 74 years","210","Male","1,918"
"554","Estimate",970702,"65 to 74 years","210","Female","1,711"
"555","Estimate",970702,"75 to 84 years","121","Male","1,918"
"556","Estimate",970702,"75 to 84 years","121","Female","1,711"
"557","Estimate",970702,"85 years and over","16","Male","1,918"
"558","Estimate",970702,"85 years and over","16","Female","1,711"
"559","Estimate",970702,"Median age (years)","38.4","Male","1,918"
"560","Estimate",970702,"Median age (years)","38.4","Female","1,711"
"561","Estimate",970703,"Under 5 years","109","Male","2,057"
"562","Estimate",970703,"Under 5 years","109","Female","2,156"
"563","Estimate",970703,"5 to 9 years","223","Male","2,057"
"564","Estimate",970703,"5 to 9 years","223","Female","2,156"
"565","Estimate",970703,"10 to 14 years","191","Male","2,057"
"566","Estimate",970703,"10 to 14 years","191","Female","2,156"
"567","Estimate",970703,"15 to 19 years","287","Male","2,057"
"568","Estimate",970703,"15 to 19 years","287","Female","2,156"
"569","Estimate",970703,"20 to 24 years","204","Male","2,057"
"570","Estimate",970703,"20 to 24 years","204","Female","2,156"
"571","Estimate",970703,"25 to 34 years","575","Male","2,057"
"572","Estimate",970703,"25 to 34 years","575","Female","2,156"
"573","Estimate",970703,"35 to 44 years","728","Male","2,057"
"574","Estimate",970703,"35 to 44 years","728","Female","2,156"
"575","Estimate",970703,"45 to 54 years","505","Male","2,057"
"576","Estimate",970703,"45 to 54 years","505","Female","2,156"
"577","Estimate",970703,"55 to 59 years","194","Male","2,057"
"578","Estimate",970703,"55 to 59 years","194","Female","2,156"
"579","Estimate",970703,"60 to 64 years","334","Male","2,057"
"580","Estimate",970703,"60 to 64 years","334","Female","2,156"
"581","Estimate",970703,"65 to 74 years","433","Male","2,057"
"582","Estimate",970703,"65 to 74 years","433","Female","2,156"
"583","Estimate",970703,"75 to 84 years","355","Male","2,057"
"584","Estimate",970703,"75 to 84 years","355","Female","2,156"
"585","Estimate",970703,"85 years and over","75","Male","2,057"
"586","Estimate",970703,"85 years and over","75","Female","2,156"
"587","Estimate",970703,"Median age (years)","42.7","Male","2,057"
"588","Estimate",970703,"Median age (years)","42.7","Female","2,156"
"589","Estimate",970704,"Under 5 years","44","Male","1,251"
"590","Estimate",970704,"Under 5 years","44","Female","910"
"591","Estimate",970704,"5 to 9 years","48","Male","1,251"
"592","Estimate",970704,"5 to 9 years","48","Female","910"
"593","Estimate",970704,"10 to 14 years","119","Male","1,251"
"594","Estimate",970704,"10 to 14 years","119","Female","910"
"595","Estimate",970704,"15 to 19 years","152","Male","1,251"
"596","Estimate",970704,"15 to 19 years","152","Female","910"
"597","Estimate",970704,"20 to 24 years","148","Male","1,251"
"598","Estimate",970704,"20 to 24 years","148","Female","910"
"599","Estimate",970704,"25 to 34 years","138","Male","1,251"
"600","Estimate",970704,"25 to 34 years","138","Female","910"
"601","Estimate",970704,"35 to 44 years","273","Male","1,251"
"602","Estimate",970704,"35 to 44 years","273","Female","910"
"603","Estimate",970704,"45 to 54 years","203","Male","1,251"
"604","Estimate",970704,"45 to 54 years","203","Female","910"
"605","Estimate",970704,"55 to 59 years","191","Male","1,251"
"606","Estimate",970704,"55 to 59 years","191","Female","910"
"607","Estimate",970704,"60 to 64 years","189","Male","1,251"
"608","Estimate",970704,"60 to 64 years","189","Female","910"
"609","Estimate",970704,"65 to 74 years","362","Male","1,251"
"610","Estimate",970704,"65 to 74 years","362","Female","910"
"611","Estimate",970704,"75 to 84 years","262","Male","1,251"
"612","Estimate",970704,"75 to 84 years","262","Female","910"
"613","Estimate",970704,"85 years and over","32","Male","1,251"
"614","Estimate",970704,"85 years and over","32","Female","910"
"615","Estimate",970704,"Median age (years)","53.6","Male","1,251"
"616","Estimate",970704,"Median age (years)","53.6","Female","910"
"617","Estimate",970801,"Under 5 years","165","Male","1,620"
"618","Estimate",970801,"Under 5 years","165","Female","1,294"
"619","Estimate",970801,"5 to 9 years","143","Male","1,620"
"620","Estimate",970801,"5 to 9 years","143","Female","1,294"
"621","Estimate",970801,"10 to 14 years","188","Male","1,620"
"622","Estimate",970801,"10 to 14 years","188","Female","1,294"
"623","Estimate",970801,"15 to 19 years","173","Male","1,620"
"624","Estimate",970801,"15 to 19 years","173","Female","1,294"
"625","Estimate",970801,"20 to 24 years","267","Male","1,620"
"626","Estimate",970801,"20 to 24 years","267","Female","1,294"
"627","Estimate",970801,"25 to 34 years","139","Male","1,620"
"628","Estimate",970801,"25 to 34 years","139","Female","1,294"
"629","Estimate",970801,"35 to 44 years","496","Male","1,620"
"630","Estimate",970801,"35 to 44 years","496","Female","1,294"
"631","Estimate",970801,"45 to 54 years","341","Male","1,620"
"632","Estimate",970801,"45 to 54 years","341","Female","1,294"
"633","Estimate",970801,"55 to 59 years","117","Male","1,620"
"634","Estimate",970801,"55 to 59 years","117","Female","1,294"
"635","Estimate",970801,"60 to 64 years","283","Male","1,620"
"636","Estimate",970801,"60 to 64 years","283","Female","1,294"
"637","Estimate",970801,"65 to 74 years","377","Male","1,620"
"638","Estimate",970801,"65 to 74 years","377","Female","1,294"
"639","Estimate",970801,"75 to 84 years","159","Male","1,620"
"640","Estimate",970801,"75 to 84 years","159","Female","1,294"
"641","Estimate",970801,"85 years and over","66","Male","1,620"
"642","Estimate",970801,"85 years and over","66","Female","1,294"
"643","Estimate",970801,"Median age (years)","42.3","Male","1,620"
"644","Estimate",970801,"Median age (years)","42.3","Female","1,294"
"645","Estimate",970804,"Under 5 years","168","Male","1,897"
"646","Estimate",970804,"Under 5 years","168","Female","2,009"
"647","Estimate",970804,"5 to 9 years","223","Male","1,897"
"648","Estimate",970804,"5 to 9 years","223","Female","2,009"
"649","Estimate",970804,"10 to 14 years","243","Male","1,897"
"650","Estimate",970804,"10 to 14 years","243","Female","2,009"
"651","Estimate",970804,"15 to 19 years","212","Male","1,897"
"652","Estimate",970804,"15 to 19 years","212","Female","2,009"
"653","Estimate",970804,"20 to 24 years","212","Male","1,897"
"654","Estimate",970804,"20 to 24 years","212","Female","2,009"
"655","Estimate",970804,"25 to 34 years","312","Male","1,897"
"656","Estimate",970804,"25 to 34 years","312","Female","2,009"
"657","Estimate",970804,"35 to 44 years","512","Male","1,897"
"658","Estimate",970804,"35 to 44 years","512","Female","2,009"
"659","Estimate",970804,"45 to 54 years","634","Male","1,897"
"660","Estimate",970804,"45 to 54 years","634","Female","2,009"
"661","Estimate",970804,"55 to 59 years","215","Male","1,897"
"662","Estimate",970804,"55 to 59 years","215","Female","2,009"
"663","Estimate",970804,"60 to 64 years","406","Male","1,897"
"664","Estimate",970804,"60 to 64 years","406","Female","2,009"
"665","Estimate",970804,"65 to 74 years","561","Male","1,897"
"666","Estimate",970804,"65 to 74 years","561","Female","2,009"
"667","Estimate",970804,"75 to 84 years","177","Male","1,897"
"668","Estimate",970804,"75 to 84 years","177","Female","2,009"
"669","Estimate",970804,"85 years and over","31","Male","1,897"
"670","Estimate",970804,"85 years and over","31","Female","2,009"
"671","Estimate",970804,"Median age (years)","47.1","Male","1,897"
"672","Estimate",970804,"Median age (years)","47.1","Female","2,009"
"673","Estimate",970805,"Under 5 years","83","Male","838"
"674","Estimate",970805,"Under 5 years","83","Female","796"
"675","Estimate",970805,"5 to 9 years","109","Male","838"
"676","Estimate",970805,"5 to 9 years","109","Female","796"
"677","Estimate",970805,"10 to 14 years","72","Male","838"
"678","Estimate",970805,"10 to 14 years","72","Female","796"
"679","Estimate",970805,"15 to 19 years","91","Male","838"
"680","Estimate",970805,"15 to 19 years","91","Female","796"
"681","Estimate",970805,"20 to 24 years","96","Male","838"
"682","Estimate",970805,"20 to 24 years","96","Female","796"
"683","Estimate",970805,"25 to 34 years","161","Male","838"
"684","Estimate",970805,"25 to 34 years","161","Female","796"
"685","Estimate",970805,"35 to 44 years","182","Male","838"
"686","Estimate",970805,"35 to 44 years","182","Female","796"
"687","Estimate",970805,"45 to 54 years","305","Male","838"
"688","Estimate",970805,"45 to 54 years","305","Female","796"
"689","Estimate",970805,"55 to 59 years","128","Male","838"
"690","Estimate",970805,"55 to 59 years","128","Female","796"
"691","Estimate",970805,"60 to 64 years","118","Male","838"
"692","Estimate",970805,"60 to 64 years","118","Female","796"
"693","Estimate",970805,"65 to 74 years","152","Male","838"
"694","Estimate",970805,"65 to 74 years","152","Female","796"
"695","Estimate",970805,"75 to 84 years","117","Male","838"
"696","Estimate",970805,"75 to 84 years","117","Female","796"
"697","Estimate",970805,"85 years and over","20","Male","838"
"698","Estimate",970805,"85 years and over","20","Female","796"
"699","Estimate",970805,"Median age (years)","45.5","Male","838"
"700","Estimate",970805,"Median age (years)","45.5","Female","796"
"701","Estimate",970806,"Under 5 years","157","Male","1,970"
"702","Estimate",970806,"Under 5 years","157","Female","2,293"
"703","Estimate",970806,"5 to 9 years","382","Male","1,970"
"704","Estimate",970806,"5 to 9 years","382","Female","2,293"
"705","Estimate",970806,"10 to 14 years","252","Male","1,970"
"706","Estimate",970806,"10 to 14 years","252","Female","2,293"
"707","Estimate",970806,"15 to 19 years","229","Male","1,970"
"708","Estimate",970806,"15 to 19 years","229","Female","2,293"
"709","Estimate",970806,"20 to 24 years","112","Male","1,970"
"710","Estimate",970806,"20 to 24 years","112","Female","2,293"
"711","Estimate",970806,"25 to 34 years","260","Male","1,970"
"712","Estimate",970806,"25 to 34 years","260","Female","2,293"
"713","Estimate",970806,"35 to 44 years","647","Male","1,970"
"714","Estimate",970806,"35 to 44 years","647","Female","2,293"
"715","Estimate",970806,"45 to 54 years","518","Male","1,970"
"716","Estimate",970806,"45 to 54 years","518","Female","2,293"
"717","Estimate",970806,"55 to 59 years","241","Male","1,970"
"718","Estimate",970806,"55 to 59 years","241","Female","2,293"
"719","Estimate",970806,"60 to 64 years","414","Male","1,970"
"720","Estimate",970806,"60 to 64 years","414","Female","2,293"
"721","Estimate",970806,"65 to 74 years","647","Male","1,970"
"722","Estimate",970806,"65 to 74 years","647","Female","2,293"
"723","Estimate",970806,"75 to 84 years","279","Male","1,970"
"724","Estimate",970806,"75 to 84 years","279","Female","2,293"
"725","Estimate",970806,"85 years and over","125","Male","1,970"
"726","Estimate",970806,"85 years and over","125","Female","2,293"
"727","Estimate",970806,"Median age (years)","46.6","Male","1,970"
"728","Estimate",970806,"Median age (years)","46.6","Female","2,293"
"729","Estimate",970903,"Under 5 years","41","Male","522"
"730","Estimate",970903,"Under 5 years","41","Female","534"
"731","Estimate",970903,"5 to 9 years","12","Male","522"
"732","Estimate",970903,"5 to 9 years","12","Female","534"
"733","Estimate",970903,"10 to 14 years","35","Male","522"
"734","Estimate",970903,"10 to 14 years","35","Female","534"
"735","Estimate",970903,"15 to 19 years","32","Male","522"
"736","Estimate",970903,"15 to 19 years","32","Female","534"
"737","Estimate",970903,"20 to 24 years","0","Male","522"
"738","Estimate",970903,"20 to 24 years","0","Female","534"
"739","Estimate",970903,"25 to 34 years","52","Male","522"
"740","Estimate",970903,"25 to 34 years","52","Female","534"
"741","Estimate",970903,"35 to 44 years","72","Male","522"
"742","Estimate",970903,"35 to 44 years","72","Female","534"
"743","Estimate",970903,"45 to 54 years","175","Male","522"
"744","Estimate",970903,"45 to 54 years","175","Female","534"
"745","Estimate",970903,"55 to 59 years","93","Male","522"
"746","Estimate",970903,"55 to 59 years","93","Female","534"
"747","Estimate",970903,"60 to 64 years","149","Male","522"
"748","Estimate",970903,"60 to 64 years","149","Female","534"
"749","Estimate",970903,"65 to 74 years","287","Male","522"
"750","Estimate",970903,"65 to 74 years","287","Female","534"
"751","Estimate",970903,"75 to 84 years","87","Male","522"
"752","Estimate",970903,"75 to 84 years","87","Female","534"
"753","Estimate",970903,"85 years and over","21","Male","522"
"754","Estimate",970903,"85 years and over","21","Female","534"
"755","Estimate",970903,"Median age (years)","60.9","Male","522"
"756","Estimate",970903,"Median age (years)","60.9","Female","534"
"757","Estimate",970904,"Under 5 years","85","Male","1,324"
"758","Estimate",970904,"Under 5 years","85","Female","1,464"
"759","Estimate",970904,"5 to 9 years","68","Male","1,324"
"760","Estimate",970904,"5 to 9 years","68","Female","1,464"
"761","Estimate",970904,"10 to 14 years","160","Male","1,324"
"762","Estimate",970904,"10 to 14 years","160","Female","1,464"
"763","Estimate",970904,"15 to 19 years","198","Male","1,324"
"764","Estimate",970904,"15 to 19 years","198","Female","1,464"
"765","Estimate",970904,"20 to 24 years","61","Male","1,324"
"766","Estimate",970904,"20 to 24 years","61","Female","1,464"
"767","Estimate",970904,"25 to 34 years","157","Male","1,324"
"768","Estimate",970904,"25 to 34 years","157","Female","1,464"
"769","Estimate",970904,"35 to 44 years","222","Male","1,324"
"770","Estimate",970904,"35 to 44 years","222","Female","1,464"
"771","Estimate",970904,"45 to 54 years","395","Male","1,324"
"772","Estimate",970904,"45 to 54 years","395","Female","1,464"
"773","Estimate",970904,"55 to 59 years","354","Male","1,324"
"774","Estimate",970904,"55 to 59 years","354","Female","1,464"
"775","Estimate",970904,"60 to 64 years","312","Male","1,324"
"776","Estimate",970904,"60 to 64 years","312","Female","1,464"
"777","Estimate",970904,"65 to 74 years","529","Male","1,324"
"778","Estimate",970904,"65 to 74 years","529","Female","1,464"
"779","Estimate",970904,"75 to 84 years","199","Male","1,324"
"780","Estimate",970904,"75 to 84 years","199","Female","1,464"
"781","Estimate",970904,"85 years and over","48","Male","1,324"
"782","Estimate",970904,"85 years and over","48","Female","1,464"
"783","Estimate",970904,"Median age (years)","56.1","Male","1,324"
"784","Estimate",970904,"Median age (years)","56.1","Female","1,464"
"785","Estimate",971003,"Under 5 years","37","Male","857"
"786","Estimate",971003,"Under 5 years","37","Female","879"
"787","Estimate",971003,"5 to 9 years","54","Male","857"
"788","Estimate",971003,"5 to 9 years","54","Female","879"
"789","Estimate",971003,"10 to 14 years","66","Male","857"
"790","Estimate",971003,"10 to 14 years","66","Female","879"
"791","Estimate",971003,"15 to 19 years","36","Male","857"
"792","Estimate",971003,"15 to 19 years","36","Female","879"
"793","Estimate",971003,"20 to 24 years","36","Male","857"
"794","Estimate",971003,"20 to 24 years","36","Female","879"
"795","Estimate",971003,"25 to 34 years","70","Male","857"
"796","Estimate",971003,"25 to 34 years","70","Female","879"
"797","Estimate",971003,"35 to 44 years","126","Male","857"
"798","Estimate",971003,"35 to 44 years","126","Female","879"
"799","Estimate",971003,"45 to 54 years","152","Male","857"
"800","Estimate",971003,"45 to 54 years","152","Female","879"
"801","Estimate",971003,"55 to 59 years","208","Male","857"
"802","Estimate",971003,"55 to 59 years","208","Female","879"
"803","Estimate",971003,"60 to 64 years","219","Male","857"
"804","Estimate",971003,"60 to 64 years","219","Female","879"
"805","Estimate",971003,"65 to 74 years","441","Male","857"
"806","Estimate",971003,"65 to 74 years","441","Female","879"
"807","Estimate",971003,"75 to 84 years","179","Male","857"
"808","Estimate",971003,"75 to 84 years","179","Female","879"
"809","Estimate",971003,"85 years and over","112","Male","857"
"810","Estimate",971003,"85 years and over","112","Female","879"
"811","Estimate",971003,"Median age (years)","62.7","Male","857"
"812","Estimate",971003,"Median age (years)","62.7","Female","879"
"813","Estimate",971103,"Under 5 years","19","Male","933"
"814","Estimate",971103,"Under 5 years","19","Female","852"
"815","Estimate",971103,"5 to 9 years","76","Male","933"
"816","Estimate",971103,"5 to 9 years","76","Female","852"
"817","Estimate",971103,"10 to 14 years","69","Male","933"
"818","Estimate",971103,"10 to 14 years","69","Female","852"
"819","Estimate",971103,"15 to 19 years","83","Male","933"
"820","Estimate",971103,"15 to 19 years","83","Female","852"
"821","Estimate",971103,"20 to 24 years","72","Male","933"
"822","Estimate",971103,"20 to 24 years","72","Female","852"
"823","Estimate",971103,"25 to 34 years","144","Male","933"
"824","Estimate",971103,"25 to 34 years","144","Female","852"
"825","Estimate",971103,"35 to 44 years","92","Male","933"
"826","Estimate",971103,"35 to 44 years","92","Female","852"
"827","Estimate",971103,"45 to 54 years","253","Male","933"
"828","Estimate",971103,"45 to 54 years","253","Female","852"
"829","Estimate",971103,"55 to 59 years","135","Male","933"
"830","Estimate",971103,"55 to 59 years","135","Female","852"
"831","Estimate",971103,"60 to 64 years","132","Male","933"
"832","Estimate",971103,"60 to 64 years","132","Female","852"
"833","Estimate",971103,"65 to 74 years","373","Male","933"
"834","Estimate",971103,"65 to 74 years","373","Female","852"
"835","Estimate",971103,"75 to 84 years","204","Male","933"
"836","Estimate",971103,"75 to 84 years","204","Female","852"
"837","Estimate",971103,"85 years and over","133","Male","933"
"838","Estimate",971103,"85 years and over","133","Female","852"
"839","Estimate",971103,"Median age (years)","57.5","Male","933"
"840","Estimate",971103,"Median age (years)","57.5","Female","852"
