GEOID,geometry,TRACT
37031970503,"list(list(c(-76.771997, -76.768801, -76.764455, -76.754532, -76.754412, -76.750548, -76.74882, -76.747188, -76.741843, -76.739026, -76.737594, -76.737076, -76.736928, -76.736179, -76.735255, -76.734756, -76.73057, -76.730059, -76.729704, -76.728532, -76.729107, -76.732469, -76.736876, -76.738733, -76.739098, -76.739345, -76.73994, -76.740212, -76.742174, -76.742895, -76.744665, -76.746578, -76.747055, -76.748729, -76.751635, -76.751929, -76.752492, -76.759207, -76.761386, -76.765403, -76.765482, 
-76.770121, -76.770737, -76.772783, -76.771997, 34.736221, 34.73625, 34.737579, 34.73888, 34.738882, 34.739115, 34.739957, 34.739208, 34.738596, 34.738309, 34.736559, 34.736327, 34.736263, 34.735939, 34.735645, 34.735517, 34.73439, 34.734247, 34.734148, 34.731561, 34.727955, 34.728071, 34.730512, 34.732989, 34.733186, 34.734048, 34.734158, 34.734587, 34.734382, 34.733712, 34.733453, 34.733007, 34.733067, 34.733124, 34.732726, 34.732666, 34.732671, 34.732626, 34.732341, 34.732326, 34.732555, 34.732604, 
34.732882, 34.733917, 34.736221)))",970503
37031970601,"list(list(c(-76.945054, -76.941357, -76.935937, -76.906202, -76.904303, -76.90111, -76.900545, -76.9011777509505, -76.902657, -76.9034969774636, -76.9048231020222, -76.907293, -76.911108, -76.915143377959, -76.915289, -76.9154042726951, -76.919751, -76.9228516096885, -76.9234708260015, -76.928617, -76.932441, -76.936382, -76.9385680967313, -76.940961, -76.945733, -76.945054, 34.723357, 34.724717, 34.72551, 34.729418, 34.729501, 34.729282, 34.729218, 34.7266895439723, 34.726495, 34.7257874693711, 
34.7246704468514, 34.72259, 34.721212, 34.7204273163643, 34.720399, 34.7203937814692, 34.720197, 34.7191681263587, 34.7189626521434, 34.717255, 34.716207, 34.717255, 34.7164271708358, 34.718108, 34.723096, 34.723357)))",970601
37031970401,"list(list(c(-76.768493, -76.76778, -76.766984, -76.765821, -76.765403, -76.761386, -76.759207, -76.752492, -76.751929, -76.751635, -76.748729, -76.747055, -76.746578, -76.744665, -76.742895, -76.742174, -76.742944, -76.740825, -76.741111, -76.759649, -76.762401, -76.769262, -76.768493, 34.728472, 34.729439, 34.730153, 34.730985, 34.732326, 34.732341, 34.732626, 34.732671, 34.732666, 34.732726, 34.733124, 34.733067, 34.733007, 34.733453, 34.733712, 34.734382, 34.727251, 34.726354, 34.723666, 34.725238, 
34.724819, 34.727059, 34.728472)))",970401
37031970101,"list(list(c(-76.4026836698906, -76.400562, -76.400604, -76.395544, -76.393804, -76.392263, -76.383217, -76.377896, -76.376101, -76.366612, -76.363785, -76.361226, -76.358546, -76.356919, -76.35428, -76.350455, -76.3411819323462, -76.34132, -76.33419, -76.339894, -76.336804, -76.329674, -76.317552, -76.314087, -76.319968, -76.326109, -76.3270059989625, -76.3272170371517, -76.3309052759251, -76.331373, -76.331689004791, -76.3355435921194, -76.338468, -76.341558, -76.344886, -76.346787, -76.3560213785008, 
-76.3657288281347, -76.368275, -76.377155, -76.379642, -76.383009, -76.382201, -76.38648, -76.393135, -76.395749, -76.398839, -76.396224, -76.391946, -76.391708, -76.3967, -76.402404, -76.4026836698906, 34.8863161196977, 34.89031, 34.891698, 34.89007, 34.890032, 34.890526, 34.898112, 34.902792, 34.905163, 34.922492, 34.92651, 34.92625, 34.928358, 34.927953, 34.925873, 34.926067, 34.9273081938172, 34.924816, 34.921503, 34.918385, 34.909809, 34.90864, 34.907665, 34.906322, 34.897745, 34.89207, 34.8908444649433, 
34.8905561316119, 34.8855170333486, 34.884878, 34.8847294176204, 34.8829170281451, 34.881542, 34.878812, 34.878032, 34.873353, 34.8731501599659, 34.8729369285704, 34.872881, 34.867553, 34.86258, 34.86105, 34.856971, 34.855411, 34.857556, 34.860872, 34.865747, 34.870428, 34.873938, 34.878617, 34.883882, 34.886611, 34.8863161196977)))",970101
37031970102,"list(list(c(-76.6769, -76.666169, -76.66195, -76.657434, -76.645547, -76.631052, -76.618693, -76.606096, -76.589696, -76.585705723307, -76.578525, -76.574642, -76.580189, -76.579713, -76.573533, -76.566403, -76.564702, -76.556183, -76.543586, -76.527858, -76.514114, -76.51157, -76.510073, -76.504844, -76.497951, -76.491296, -76.4883584834025, -76.484166, -76.483215, -76.489613, -76.492009, -76.494624, -76.497476, -76.49588, -76.488682, -76.486543, -76.492722, -76.493911, -76.490458, -76.485813, -76.482264, 
-76.479412, -76.477036, -76.471331, -76.464676, -76.467766, -76.470618, -76.477511, -76.472757, -76.47038, -76.463469, -76.454218, -76.450891, -76.450653, -76.446137, -76.440195, -76.435763, -76.432566, -76.434966, -76.433065, -76.424033, -76.422607, -76.43045, -76.43354, -76.437581, -76.435917, -76.440433, -76.436868, -76.435917, -76.431639, -76.425462, -76.42332, -76.422131, -76.422369, -76.429975, -76.4271792461047, -76.422845, -76.415239, -76.408821, -76.4079735963314, -76.4032744599965, -76.403117, 
-76.400265, -76.398364, -76.3927319353681, -76.38743, -76.384816, -76.3803, -76.382677, -76.381488, -76.378154, -76.376007, -76.37008, -76.363425, -76.361761, -76.355106, -76.346754, -76.343935, -76.34037, -76.334903, -76.334903, -76.332045, -76.329674, -76.324445, -76.319454, -76.320642, -76.327888, -76.329558, -76.333952, -76.34037, -76.350828, -76.360816, -76.367465, -76.368654, -76.364138, -76.352291, -76.335388, -76.329199, -76.318547, -76.293683, -76.249314, -76.243872, -76.246962, -76.250764, 
-76.256706, -76.262411, -76.274295, -76.28808, -76.297587, -76.305668, -76.299675, -76.295448, -76.289269, -76.27786, -76.276672, -76.278573, -76.281187, -76.279524, -76.285941, -76.292358, -76.297825, -76.295924, -76.297604, -76.313512, -76.326584, -76.332051, -76.336091, -76.340845, -76.3411819323462, -76.350455, -76.35428, -76.356919, -76.358546, -76.361226, -76.363785, -76.366612, -76.376101, -76.377896, -76.383217, -76.392263, -76.393804, -76.395544, -76.400604, -76.400562, -76.4026836698906, 
-76.405732, -76.405256, -76.407633, -76.41001, -76.408821, -76.41161, -76.415001, -76.412149, -76.415239, -76.418566, -76.424033, -76.427598, -76.431401, -76.434253, -76.436868, -76.443998, -76.4445544250228, -76.449465, -76.4497114304226, -76.451366, -76.4587835555828, -76.4623862572444, -76.462733428184, -76.463017, -76.465987, -76.4712261372727, -76.471807, -76.473054, -76.47965, -76.484641, -76.485354, -76.487969, -76.487969, -76.490583, -76.4958626428362, -76.496534, -76.496786, -76.496424, 
-76.498174, -76.499237, -76.505727, -76.507724, -76.509474, -76.512449, -76.514814, -76.515814, -76.517381, -76.517802, -76.517663, -76.518053, -76.518982, -76.52463, -76.526208, -76.527424, -76.529352, -76.532564, -76.542239, -76.543216, -76.551984, -76.552788, -76.556163, -76.558247, -76.561661, -76.566977, -76.577341, -76.586381, -76.59063, -76.591365, -76.593929, -76.595102, -76.6039994237178, -76.604432, -76.6109931318476, -76.612425, -76.620714, -76.621156, -76.622769, -76.623084, -76.625141, 
-76.628367, -76.630532, -76.629316, -76.627902, -76.626274, -76.627337, -76.627695, -76.626651, -76.6276, -76.628975, -76.630572, -76.630003, -76.631668, -76.631101, -76.626435, -76.624722, -76.623265, -76.624063, -76.626764, -76.62859, -76.630232, -76.633144, -76.634387, -76.634558, -76.640284, -76.660584, -76.662462, -76.660633, -76.652571, -76.6772373782154, -76.676449, -76.675736, -76.6774, -76.6769, 34.968813, 34.974022, 34.980141, 34.982478, 34.984032, 34.98871, 34.987931, 34.984815, 34.97761, 
34.9771227797503, 34.976246, 34.983446, 34.987736, 34.990073, 34.992993, 34.99533, 34.998339, 35.000003, 35.00195, 35.002578, 35.004481, 35.005075, 34.996693, 34.992409, 34.98501, 34.985399, 34.986522095406, 34.988125, 34.99163, 34.993745, 35.000392, 35.004091, 35.00818, 35.011662, 35.015188, 35.020443, 35.020638, 35.023168, 35.031153, 35.0406, 35.044381, 35.044381, 35.038154, 35.043798, 35.046716, 35.053138, 35.058391, 35.058391, 35.069285, 35.075704, 35.076411, 35.06948, 35.066951, 35.062865, 35.058391, 
35.059753, 35.057941, 35.049061, 35.04263, 35.033484, 35.029007, 35.026672, 35.028229, 35.026477, 35.024531, 35.020638, 35.014604, 35.005454, 35.000976, 34.999029, 35.001464, 34.98871, 34.98092, 34.97722, 34.968651, 34.9616239725727, 34.95073, 34.953068, 34.962028, 34.9622306400077, 34.9633543465226, 34.963392, 34.957548, 34.94547, 34.9483802949671, 34.95112, 34.959691, 34.970209, 34.978194, 34.979168, 34.978611, 34.973864, 34.972351, 34.969235, 34.976441, 34.971378, 34.971903, 34.970404, 34.966313, 
34.967287, 34.970598, 34.970917, 34.96456, 34.96047, 34.965924, 34.975467, 34.981334, 34.986901, 34.992409, 34.997277, 35.015577, 35.025973, 35.031148, 35.034651, 35.036597, 35.033077, 35.02685, 35.023168, 35.020645, 35.009633, 35.000668, 34.996888, 34.987347, 34.98131, 34.977025, 34.975273, 34.987152, 34.996304, 34.994356, 34.991436, 34.984129, 34.975078, 34.968066, 34.960665, 34.954042, 34.949951, 34.946639, 34.941378, 34.938066, 34.937871, 34.934559, 34.929882, 34.923658, 34.926764, 34.934364, 
34.935923, 34.933974, 34.93339, 34.9273081938172, 34.926067, 34.925873, 34.927953, 34.928358, 34.92625, 34.92651, 34.922492, 34.905163, 34.902792, 34.898112, 34.890526, 34.890032, 34.89007, 34.891698, 34.89031, 34.8863161196977, 34.883102, 34.876863, 34.870818, 34.861457, 34.854631, 34.841268, 34.838246, 34.832198, 34.827711, 34.826735, 34.832588, 34.831418, 34.828881, 34.823028, 34.818736, 34.815809, 34.8157096638335, 34.814833, 34.8139476134738, 34.808003, 34.7934066308603, 34.7863171843753, 34.7856340165672, 
34.785076, 34.780432, 34.7771381850033, 34.776773, 34.769379, 34.763301, 34.760958, 34.754905, 34.7551, 34.758224, 34.76252, 34.7634995428552, 34.769192, 34.771595, 34.777431, 34.779853, 34.780849, 34.785567, 34.786614, 34.785161, 34.781343, 34.779509, 34.777266, 34.773162, 34.769582, 34.763973, 34.763257, 34.762599, 34.76232, 34.761494, 34.759818, 34.760338, 34.762082, 34.767708, 34.768087, 34.77009, 34.770523, 34.774179, 34.775955, 34.778439, 34.780148, 34.781107, 34.783228, 34.784385, 34.78489, 
34.788228, 34.78877, 34.7893275521772, 34.789852, 34.7888541558733, 34.792675, 34.807907, 34.814273, 34.815485, 34.81818, 34.819112, 34.818429, 34.821074, 34.822628, 34.822612, 34.82413, 34.825329, 34.83087, 34.831371, 34.833769, 34.835639, 34.836734, 34.838181, 34.844135, 34.847722, 34.879017, 34.890597, 34.893374, 34.893434, 34.896915, 34.897023, 34.897784, 34.897381, 34.898248, 34.899448, 34.902235, 34.910329, 34.912257, 34.915578, 34.937595, 34.9577117788815, 34.958912, 34.964366, 34.966508, 
34.968813)))",970102
37031970603,"list(list(c(-76.8894, -76.889003, -76.880714, -76.875287, -76.867196, -76.86512, -76.861841, -76.854628, -76.847059, -76.841111, -76.836908, -76.835698, -76.836525, -76.838319, -76.838456, -76.836913, -76.838022, -76.838383, -76.843075, -76.844981, -76.873044, -76.884685, -76.889213, -76.890586, -76.8894, 34.732732, 34.733567, 34.746111, 34.75449, 34.767159, 34.770405, 34.767765, 34.761946, 34.755795, 34.751027, 34.748374, 34.747612, 34.746713, 34.74269, 34.740137, 34.736464, 34.732566, 34.732681, 
34.734109, 34.734313, 34.734274, 34.731967, 34.72992, 34.729335, 34.732732)))",970603
37031970402,"list(list(c(-76.742174, -76.740212, -76.73994, -76.739345, -76.739098, -76.738733, -76.736876, -76.732469, -76.729107, -76.726666, -76.723901, -76.721682, -76.716285, -76.709561, -76.700314, -76.691207, -76.690796, -76.698276, -76.701541, -76.708327, -76.729721, -76.741111, -76.740825, -76.742944, -76.742174, 34.734382, 34.734587, 34.734158, 34.734048, 34.733186, 34.732989, 34.730512, 34.728071, 34.727955, 34.727173, 34.726895, 34.727128, 34.728557, 34.730511, 34.730597, 34.728429, 34.72109, 34.720623, 
34.720895, 34.721057, 34.722766, 34.723666, 34.726354, 34.727251, 34.734382)))",970402
37031970703,"list(list(c(-76.882312, -76.858577, -76.855252, -76.854327, -76.854263, -76.853791, -76.853366, -76.853288, -76.852983, -76.852858, -76.852443, -76.849506, -76.848026, -76.845588, -76.843679, -76.843968, -76.842526, -76.842011, -76.844003, -76.844045, -76.844219, -76.844358, -76.84444, -76.844443, -76.84435, -76.841924, -76.840132, -76.839504, -76.837012, -76.837332, -76.83788, -76.839923, -76.845424, -76.845873, -76.846688, -76.847913, -76.850342, -76.851529, -76.853027, -76.854628, -76.861841, 
-76.86512, -76.870469, -76.87199, -76.873323, -76.876409, -76.876483, -76.877394, -76.879893, -76.879935, -76.879066, -76.8765, -76.876022, -76.876837, -76.882306, -76.882358, -76.882312, 34.840714, 34.802698, 34.797479, 34.798298, 34.798223, 34.796762, 34.795846, 34.795451, 34.794198, 34.792965, 34.790544, 34.786895, 34.786274, 34.786438, 34.784852, 34.783989, 34.782442, 34.779821, 34.777848, 34.777613, 34.777531, 34.777173, 34.777065, 34.776749, 34.776752, 34.77336, 34.773004, 34.771277, 34.769793, 
34.768495, 34.768503, 34.767015, 34.764457, 34.764238, 34.762877, 34.761952, 34.760998, 34.761224, 34.761843, 34.761946, 34.767765, 34.770405, 34.774873, 34.777384, 34.781015, 34.789305, 34.789521, 34.793687, 34.81179, 34.812863, 34.815914, 34.821466, 34.823648, 34.827062, 34.836685, 34.837306, 34.840714)))",970703
37031970200,"list(list(c(-76.547567, -76.545428, -76.538298, -76.534257, -76.526414, -76.521898, -76.519521, -76.520947, -76.5217607202562, -76.522849, -76.5244270229239, -76.525939, -76.529504, -76.535446, -76.539486, -76.544002, -76.546854, -76.546854, -76.547567, 34.710625, 34.712384, 34.711993, 34.71082, 34.709648, 34.709648, 34.707108, 34.703005, 34.7013330658457, 34.699097, 34.699097, 34.699097, 34.699488, 34.70066, 34.701246, 34.701246, 34.703982, 34.706327, 34.710625)), list(c(-76.586309, -76.579179, 
-76.573237, -76.568721, -76.56064, -76.561591, -76.564918, -76.564205, -76.5587645253552, -76.557312, -76.555411, -76.555411, -76.553034, -76.544953, -76.53806, -76.525939, -76.525226, -76.525701, -76.528078, -76.532831, -76.539011, -76.546379, -76.558738, -76.5597582215528, -76.566106, -76.574425, -76.581556, -76.584645, -76.585834, -76.58726, -76.586309, 34.713947, 34.714142, 34.712774, 34.71297, 34.710039, 34.706717, 34.704568, 34.702223, 34.7006807560633, 34.700269, 34.699488, 34.696752, 34.696947, 
34.696752, 34.69597, 34.691866, 34.688544, 34.685222, 34.683853, 34.686785, 34.688544, 34.690107, 34.69343, 34.6936735626644, 34.695189, 34.697143, 34.699097, 34.701832, 34.706522, 34.711797, 34.713947)))",9702
37031970403,"list(list(c(-76.781046, -76.777054, -76.774809, -76.769262, -76.762401, -76.759649, -76.741111, -76.729721, -76.708327, -76.701541, -76.698276, -76.690796, -76.692721, -76.6927737848951, -76.694748, -76.70344, -76.7052010398633, -76.7059601963606, -76.706569, -76.714024, -76.715956, -76.716651, -76.718969, -76.720923, -76.729908980581, -76.734383, -76.7412972991426, -76.746551, -76.755823, -76.760111, -76.768455, -76.773322, -76.78016, -76.78082479634, -76.780548, -76.781046, 34.727714, 34.729097, 
34.729078, 34.727059, 34.724819, 34.725238, 34.723666, 34.722766, 34.721057, 34.720895, 34.720623, 34.72109, 34.7176, 34.7159139372866, 34.715826, 34.715255, 34.7164340918867, 34.716942379794, 34.71735, 34.715756, 34.716493, 34.718684, 34.718398, 34.717966, 34.720099002077, 34.721161, 34.7215939960508, 34.721923, 34.722494, 34.721542, 34.724399, 34.724304, 34.72478, 34.7249102826024, 34.725735, 34.727714)))",970403
37031970704,"list(list(c(-76.883052, -76.840381, -76.788024, -76.781282, -76.771766, -76.76643, -76.762155, -76.760799, -76.760032, -76.758008, -76.756005, -76.75597, -76.755154, -76.752487, -76.693018, -76.693024, -76.693031, -76.69185, -76.691877, -76.689105, -76.689305, -76.689967, -76.691194, -76.691386, -76.690895, -76.689915, -76.688013, -76.686594, -76.686022, -76.686352, -76.685721, -76.685054, -76.686144, -76.686043, -76.685771, -76.671227, -76.673213, -76.67372, -76.674288, -76.676836, -76.683855, -76.691573, 
-76.702607, -76.7132, -76.720236, -76.728901, -76.737431, -76.746995, -76.750366, -76.752234, -76.754512, -76.757141, -76.762535, -76.763746, -76.766001, -76.773495, -76.7786, -76.779546, -76.781895, -76.785577, -76.788927, -76.791077, -76.794216, -76.793842, -76.795858, -76.798318, -76.801332, -76.802699, -76.802644, -76.803312, -76.805045, -76.805324, -76.80461, -76.805955, -76.808847, -76.809826, -76.809347, -76.810239, -76.81175, -76.816297, -76.816875, -76.819155, -76.820704, -76.822432, -76.824707, 
-76.829261, -76.829432, -76.830982, -76.83239, -76.83336, -76.837332, -76.837012, -76.839504, -76.840132, -76.841924, -76.84435, -76.844443, -76.84444, -76.844358, -76.844219, -76.844045, -76.844003, -76.842011, -76.842526, -76.843968, -76.843679, -76.845588, -76.848026, -76.849506, -76.852443, -76.852858, -76.852983, -76.853288, -76.853366, -76.853791, -76.854263, -76.854327, -76.855252, -76.858577, -76.882312, -76.882544, -76.883052, 34.844896, 34.845591, 34.846423, 34.846528, 34.846677, 34.848795, 
34.848232, 34.846612, 34.84705, 34.846285, 34.847228, 34.847245, 34.847629, 34.848137, 34.86918, 34.869234, 34.87101, 34.871067, 34.869641, 34.840513, 34.837215, 34.832607, 34.827957, 34.825319, 34.822345, 34.818838, 34.814045, 34.80976, 34.806175, 34.80215, 34.796582, 34.790695, 34.784248, 34.775014, 34.7738, 34.756569, 34.750161, 34.749039, 34.747782, 34.750161, 34.755776, 34.760876, 34.764346, 34.767342, 34.768331, 34.768517, 34.766448, 34.762564, 34.762069, 34.761108, 34.759137, 34.757141, 34.754411, 
34.754096, 34.753805, 34.753621, 34.75403, 34.753837, 34.752326, 34.752423, 34.75425, 34.754754, 34.758472, 34.760197, 34.762372, 34.761806, 34.762708, 34.764602, 34.766458, 34.766842, 34.76658, 34.765639, 34.763835, 34.762143, 34.76223, 34.76339, 34.765075, 34.765948, 34.762881, 34.764345, 34.766827, 34.766161, 34.7648, 34.766702, 34.766376, 34.767046, 34.769753, 34.768938, 34.76706, 34.766849, 34.768495, 34.769793, 34.771277, 34.773004, 34.77336, 34.776752, 34.776749, 34.777065, 34.777173, 34.777531, 
34.777613, 34.777848, 34.779821, 34.782442, 34.783989, 34.784852, 34.786438, 34.786274, 34.786895, 34.790544, 34.792965, 34.794198, 34.795451, 34.795846, 34.796762, 34.798223, 34.798298, 34.797479, 34.802698, 34.840714, 34.843297, 34.844896)))",970704
37031970806,"list(list(c(-77.113124, -77.112572, -77.108561, -77.108031, -77.105153, -77.105987, -77.105993, -77.105994, -77.099687, -77.095891, -77.093193, -77.091095, -77.088579, -77.087417, -77.084637, -77.083248, -77.081912, -77.080653, -77.078893, -77.07641, -77.076056, -77.075432, -77.075358, -77.073842, -77.072182, -77.069832, -77.067846, -77.06473, -77.063637, -77.061562, -77.061076, -77.060369, -77.059865, -77.059222, -77.059009, -77.058383, -77.05802, -77.056042, -77.054561, -77.053576, -77.053462, 
-77.052027, -77.047666, -77.047319, -77.048875, -77.046928, -77.046951, -77.047007, -77.046961, -77.046021, -77.045887, -77.046969, -77.047088, -77.046797, -77.046719, -77.045211, -77.044745, -77.04584, -77.046262, -77.045331, -77.0449964002233, -77.045435, -77.048242, -77.0491415722935, -77.049492, -77.051194981352, -77.051346, -77.0524495557625, -77.053548, -77.0559268130749, -77.056213, -77.056677, -77.0564752597609, -77.054011, -77.054823, -77.0586895703988, -77.059227, -77.061199, -77.064789, 
-77.06694559663, -77.0696131009336, -77.069773, -77.0735585065934, -77.073829, -77.0752305511986, -77.078034, -77.081246, -77.083564, -77.083216, -77.0833019872281, -77.083332, -77.092719, -77.0949737760816, -77.100252, -77.105004, -77.109176, -77.1115151908125, -77.113, -77.112768, -77.1129825425025, -77.1132981312984, -77.113124, 34.683284, 34.683946, 34.687346, 34.688183, 34.694712, 34.706657, 34.709764, 34.710106, 34.711633, 34.712349, 34.712551, 34.712573, 34.712331, 34.711879, 34.709773, 34.709168, 
34.708877, 34.708825, 34.709069, 34.710005, 34.710222, 34.710709, 34.710803, 34.712195, 34.712103, 34.711125, 34.711228, 34.711551, 34.711855, 34.712093, 34.712051, 34.712332, 34.712465, 34.712753, 34.712815, 34.712678, 34.712205, 34.712375, 34.711386, 34.711074, 34.710987, 34.708424, 34.706181, 34.703389, 34.703164, 34.699933, 34.699753, 34.69932, 34.696932, 34.697149, 34.696192, 34.695759, 34.695174, 34.695127, 34.691757, 34.691696, 34.690408, 34.687631, 34.686739, 34.685911, 34.6854866191938, 
